cleaned_messages,MessageType
,Non-Flirt
Office la irukiya,Non-Flirt
Yes,Non-Flirt
Sooooooo happy for you .... Pooooooooooorna ....,Flirt
Priya,Non-Flirt
Thankieww,Non-Flirt
,Non-Flirt
Hey Priya.. Thanks de,Non-Flirt
,Non-Flirt
Inime santhoshama kalyanam panipen,Non-Flirt
adhu,Non-Flirt
Happy friendship day,Flirt
Iru unakagave Oru meme vechiruken,Non-Flirt
<Media omitted>,Non-Flirt
Adingu goiyalae,Non-Flirt
,Non-Flirt
Der,Non-Flirt
Poooooorna,Non-Flirt
Soooooo sorry,Non-Flirt
Call attend pannama irundhadhuku,Non-Flirt
Ne call pannumbodhula... Inga Anni vishayam konjam prechana poitrundhudhu,Non-Flirt
Adha endha call um attend panna mudila,Non-Flirt
Inniku varom,Non-Flirt
Golu mudichircha ... Illa iruka inniku varalamnu irukom,Non-Flirt
Vaadi lusu,Non-Flirt
Iniku and tomo,Non-Flirt
Epo venalum,Non-Flirt
Vaa,Non-Flirt
Nee kochikitanu nenachen,Non-Flirt
Come with ur son,Non-Flirt
Hey Priya,Non-Flirt
Me and dad met with an accident,Non-Flirt
Enaku light uh adipatuchu.. Appa ku right knee dislocated and the bones below the knee and broken,Non-Flirt
Surgery planned on tuesday,Non-Flirt
Poorna,Non-Flirt
Inna aachu,Non-Flirt
Wound aarucha,Non-Flirt
Operation eppo ?,Non-Flirt
Proya,Non-Flirt
*priya,Non-Flirt
Romba complex fracture,Non-Flirt
1st surgery last Thursday mudichiduchu,Non-Flirt
But inonu pananumnu solitanga,Non-Flirt
2nd surgery iniku dan,Non-Flirt
Mudinjijuthu,Non-Flirt
Oh,Non-Flirt
Ippo epdi irukaru uncle,Non-Flirt
He is ok,Non-Flirt
Romba pain pola,Non-Flirt
Poorna,Non-Flirt
Room number inna,Non-Flirt
Inna ward,Non-Flirt
Any visiting hours timing?,Non-Flirt
Poorna,Non-Flirt
Der,Non-Flirt
Uncle epdi irukaru...,Non-Flirt
Hi dr,Non-Flirt
He is good,Non-Flirt
Getting better,Non-Flirt
,Non-Flirt
Nadakurara,Non-Flirt
Walker vechi,Non-Flirt
Yeah.. with one leg he is walking,Non-Flirt
Hummmm...,Non-Flirt
Hru,Non-Flirt
Ena panra nee,Non-Flirt
Semmmmmmmaaaa....,Non-Flirt
Utsav ah pick up panna vandhruken,Non-Flirt
Wanna tell Yu something,Non-Flirt
I'll meet u,Non-Flirt
Friday? Eve,Non-Flirt
Veetuku varava,Non-Flirt
Va va...,Non-Flirt
Morning eh va,Non-Flirt
Around 5 o clock varen okay uh,Non-Flirt
Lunch sapudra madhiri va,Non-Flirt
Leave ila,Non-Flirt
En evening,Non-Flirt
Apram eppo return aava,Non-Flirt
Office poitu inga irunthu varen,Non-Flirt
Romba late,Non-Flirt
Olungavae pesa mudiyadhula,Non-Flirt
Seri va,Non-Flirt
Aprama marubadiyum varanum,Non-Flirt
Full day,Non-Flirt
Sure sure..,Non-Flirt
Uncle aunty vandhanae ellarum,Non-Flirt
I'll come as soon as possible this friday,Non-Flirt
Uncle anniku sonnadhu dha kannukulliyae iruku,Non-Flirt
Hum,Non-Flirt
Appo na annike sollava,Non-Flirt
Shall I call u!?,Non-Flirt
Ena sonaru de,Non-Flirt
Na kandipa un veetuku varuven... Enaku ne tiffin samachi podanum... Adha na kandipa sapduven nu sonnaru,Non-Flirt
Goiyalae nane anapuren wait,Non-Flirt
<Media omitted>,Non-Flirt
Ha ha.. he will come de... Once after I got married,Non-Flirt
Omgu started it,Non-Flirt
Yeah ... Innikudha banner vechom,Non-Flirt
Super de,Flirt
Only teaching or also stictching!?,Non-Flirt
Yaartayum innum sollala... Daddy mummy kaduthadhu unkitta solren,Non-Flirt
,Non-Flirt
,Non-Flirt
Both ... But teaching dha concentrate ippo panren,Non-Flirt
Super Priya Jolly joly.. en frn business women aayita,Flirt
Wait naane cal panren soon,Non-Flirt
Hey... Innikudha started,Non-Flirt
Innum yaarum join pannala...,Non-Flirt
Panuvanga,Non-Flirt
Heyyy,Non-Flirt
Soooooo sorry poorna,Non-Flirt
Inniku en pattiku thidhi,Non-Flirt
Na ippodha na Amma veetlendhu kalambhuren,Non-Flirt
Enaku nethudha Amma sonnanga,Non-Flirt
Na unkitta sollanumnu nanachite irundhen ....,Non-Flirt
Sooooo sorrrry,Non-Flirt
Marandhuten...,Non-Flirt
Sorry,Non-Flirt
Sorry,Non-Flirt
Sorry,Non-Flirt
Chi it's ok lusu,Non-Flirt
Hoi,Non-Flirt
Mumbai poirkiya ?,Non-Flirt
Poitu vanten de,Non-Flirt
Iniku dan vanthen,Non-Flirt
15 the poniya,Non-Flirt
Yes yes,Flirt
Na innikudha pathen,Non-Flirt
Office work ah,Non-Flirt
Ok ok.. no de.. appa ka ga Shirdi varenu vendikiten..,Non-Flirt
So Mumbai vazhiya ponen,Non-Flirt
Thaniya va,Non-Flirt
Me and ma colleague,Non-Flirt
Hummmm....,Non-Flirt
Thru Travel agency group la,Non-Flirt
Humm ok ok,Flirt
🤣🤣🤣🤣,Non-Flirt
,Non-Flirt
<Media omitted>,Non-Flirt
Happy and a prosperous New year to you and your family wishing u a fabulous year ahead. May all your wishes come true in this 2020,Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Aww,Non-Flirt
Wil meet u soon de,Non-Flirt
<Media omitted>,Non-Flirt
PM address: 19 Mar 20 @ 8.00pm,Non-Flirt
Look at ITALY,Non-Flirt
<Media omitted>,Non-Flirt
Happy bday Utsav kutty,Flirt
Stay safe and have fun,Flirt
<Media omitted>,Non-Flirt
,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
🥰🥰🥰🥰🥰🥰🥰🥰,Non-Flirt
Aie,Non-Flirt
Olunga pic eduthu anapu,Non-Flirt
🤣,Non-Flirt
🤣🤣🤣,Non-Flirt
Wow,Flirt
,Non-Flirt
Nive ku girl uh?,Non-Flirt
Aama... Pooooor,Non-Flirt
Congrats sonen nu solidu,Flirt
Hummm...,Non-Flirt
Hey,Non-Flirt
Priya,Non-Flirt
Unkuda pesnaum de,Non-Flirt
Epo free nee,Flirt
Anna kudayum,Non-Flirt
Let me kno when u both can talk,Non-Flirt
Hey poooor,Non-Flirt
Sollu Inna aachu,Non-Flirt
Call?,Non-Flirt
Any pr,Non-Flirt
Pic anapu .. pakren,Non-Flirt
I feeeeel sooooo happy for yu 🥰,Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Ellllammmmae... Nalladhe nadakkum,Non-Flirt
Don't worry,Non-Flirt
,Non-Flirt
Think positive,Flirt
Avlodha,Non-Flirt
,Non-Flirt
,Non-Flirt
,Non-Flirt
,Non-Flirt
,Non-Flirt
<Media omitted>,Non-Flirt
Rightuuuuu,Non-Flirt
Nadathriiiii ...,Non-Flirt
Any gifts ?,Non-Flirt
Avarmattum thaniya vandhara,Non-Flirt
<Media omitted>,Non-Flirt
Yes,Non-Flirt
Semmmma,Non-Flirt
Silver earrings,Non-Flirt
Nalla pathuparu ... Don't worry...,Non-Flirt
Hummm?,Non-Flirt
🥰🥰,Non-Flirt
Idhe madhiridha starting la mani yum irundharu .... So adha vechi solren,Non-Flirt
He's gud guy,Non-Flirt
<Media omitted>,Non-Flirt
Anba iruntha pothum,Non-Flirt
Ipdi irukravanga kandipa anbadha irupanga...,Non-Flirt
One time pesumbodhu konjam therinjirum la,Non-Flirt
Pakalam June 10th,Non-Flirt
Sooooo.... Happy for yu,Flirt
Yea yea.. kalailaye vanthudrenu solirukanga.. merkondu pesa.. so Neeyum vaa kandipa..,Non-Flirt
Na ivan kitta unna pathiyae dha pesitruken,Non-Flirt
Thanks Priya..,Non-Flirt
Ivan na utsav uh ila anna va🤣,Non-Flirt
Avaradha solren...,Non-Flirt
Unaku okay la... ? Adha romba mukkiyam,Non-Flirt
Adipavi🤣🤣,Non-Flirt
Romba anba irukanga.. enaku atu pothum.  Im happy...,Non-Flirt
This editsuper re,Non-Flirt
Hummmm .... Avlodha... Ennoda prayers la ne eppumae irupa ... Unaku nalla maplai kadaikanumnu nariya vendikitten,Non-Flirt
Uncle aunty aasaptaa madhiri .... Ellamae semmmmaya nadakanum,Non-Flirt
Pathutiyaaa,Non-Flirt
Enkita pesumpothu onnu sonaru priya.. Wat kinda support u need to ur parents behalf of me.. I'll be their son bt still wat would you expect nu ketaru.. athanala dan ethume yosikala.. udane okay soliten,Flirt
,Non-Flirt
Gud.... 70% ok,Non-Flirt
Pass ayiten🤣,Non-Flirt
,Non-Flirt
Eating snacks ... Adha konjam slow reply,Non-Flirt
,Non-Flirt
Paaaaahhhhh..... Any tym  online dhaaaa..... ‍,Non-Flirt
Gud nit,Non-Flirt
Playinf ludo,Non-Flirt
<Media omitted>,Non-Flirt
Aww thankieww Utsav kutty,Non-Flirt
Paara,Non-Flirt
,Non-Flirt
Hey,Non-Flirt
Photo enaku anupama,Non-Flirt
Innnaga madam,Non-Flirt
Avaruku matum send paniruka,Non-Flirt
Inna photo ma,Non-Flirt
Engala photo eduthingale,Non-Flirt
Na pannala... Avar anapcharu,Non-Flirt
Apdiyaaaa,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Enaku oru help,Non-Flirt
Solre,Non-Flirt
??,Non-Flirt
Natchathra kalayana naal pakradhu ... Inna la venum,Non-Flirt
Rasi natchathram mattum podhuma,Non-Flirt
Appa ka priya?,Non-Flirt
Yes,Non-Flirt
Appa entha tamil month and natchathiram?,Non-Flirt
Aavani,Non-Flirt
Pathutiya,Non-Flirt
Hoi ivlo nerama...,Non-Flirt
Adipaavi,Non-Flirt
,Non-Flirt
Hey priya,Non-Flirt
Sollu poor,Non-Flirt
Priya,Non-Flirt
Aari designs podriya nee,Non-Flirt
Or stopped it!!,Non-Flirt
Ippo podala... But unakaga podren,Non-Flirt
Design pic anapu,Non-Flirt
Pakren,Non-Flirt
Athelam i dunno..,Non-Flirt
Adacha search panni unaku pudichadhu anapu,Non-Flirt
Sure uh??,Non-Flirt
Evlo aagum,Non-Flirt
I neva did it before,Non-Flirt
First design anapu apram evlonu solren...,Non-Flirt
Seri Google pani pakuren,Non-Flirt
Hum,Non-Flirt
Saree blouse pic anapu...,Non-Flirt
For Color ?,Non-Flirt
Oru saree naanga vangitom,Non-Flirt
Inonu ini dan vanganum,Non-Flirt
Anupuren,Non-Flirt
Hum,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Ithuku epdi blouse stitch panlam,Non-Flirt
Romba kocha kocha design venam.. simple uh iruntha pothum,Non-Flirt
Suggest some ideas,Non-Flirt
Avanga veetla ithan vangirukanga..,Non-Flirt
Pathu solren...,Non-Flirt
,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
🥰🥰🥰🥰🥰🥰,Non-Flirt
🥰,Non-Flirt
Poorna...,Non-Flirt
Don't mistake meee....,Non-Flirt
Na aasaila takkunu solliten....,Non-Flirt
But inga work from home Nala... Ennala aari stand open pannave mudiyadhu poor... Na adha suthama yosikave illa,Non-Flirt
Sudden ah strike aachu..,Non-Flirt
Utsav school poiduvan ... First thing Ivar veetla irukamattaru... Adhanala enaku space free ah iruku room la aari work panradhuku...,Flirt
Appo unkitta ok sollumbodhu sathiyama enaku strike eh aagala... Ippodha yosikuren...,Non-Flirt
Unaku puridha poor... Enaku epdi unaku explain panradhunu therila...,Non-Flirt
Ikkatana situation... But nariya peruku design potruken... But unaku podamudilanu romba kashtama iruku...,Non-Flirt
Choooooo chorrrrrrryyyyy.... poorna...,Non-Flirt
Hy no prob de,Non-Flirt
I'll give it here,Non-Flirt
Hey priya,Non-Flirt
Sollu poor,Non-Flirt
Epdi iruka,Non-Flirt
Ena panra,Non-Flirt
Poor,Non-Flirt
Adipavi evlo late uh reply panra paaru,Non-Flirt
Chorrry,Non-Flirt
Sollu ...,Non-Flirt
Onumila,Non-Flirt
Adacha sollu,Non-Flirt
Nalaiku pesuren,Non-Flirt
Good night,Non-Flirt
How's yur love,Flirt
Gud nit,Non-Flirt
Antha kathaiya polamba dan call panlam nu nenachen,Non-Flirt
Porumaya call la solren,Non-Flirt
Oh... Nalaiku nane call panren ...,Non-Flirt
Nalaiku release.. full day call la irupen,Non-Flirt
Eppo free,Flirt
Ne enaku inniku odanae call panna vendiyadhana,Non-Flirt
Seri edhuva irundhalum pathukalam,Non-Flirt
Mind oda vechiko... Manasuku edhaiyum eduthutu pogadha,Non-Flirt
Naane panren de,Non-Flirt
Manase sarila,Non-Flirt
,Non-Flirt
Na ippo call pannava,Non-Flirt
